"","Estimate","Std. Error","t value","Pr(>|t|)"
"pcgROAMI",-0.0034085675567318,0.0339779178704782,-0.100317140377025,0.920092885800825
"pcgHEART2",0.0022492387791159,0.0333139975487014,0.0675163278086863,0.946170889309478
"pcgMSC2a3",-0.0215782156312858,0.0331579193141357,-0.650771100166307,0.515196754482063
"pcgPNEUM",-0.0368640297129124,0.0364369552144759,-1.01172091619409,0.311675598334948
"pcgMISCL5",-0.0317068646468444,0.0342895799763919,-0.924679295245795,0.355136477347255
"pcgGIOBSENT",-0.0350989685056129,0.0403953583608935,-0.86888617726912,0.38491287201905
"pcgRENAL3",-0.0218687829908425,0.0338936244864009,-0.645218188441806,0.518788272126209
"pcgGYNEC1",0.00826729429926634,0.0341449309708196,0.242123620233164,0.808685205201452
"pcgAMI",0.00274520604657458,0.0338920604749273,0.0809984995927124,0.935443416338651
"pcgUTI",-0.0295416751199477,0.0339773002230287,-0.869453279867284,0.38460273544104
"pcgCOPD",-0.00737298215361387,0.0339667827563963,-0.217064483454073,0.828158831410517
"pcgGIBLEED",-0.00160971887022815,0.0333919547398944,-0.0482067876159694,0.961551601455928
"pcgHIPFX",-0.0633709077026624,0.0398341127859805,-1.59087031869241,0.111644040531042
"pcgSKNAUT",-0.026635670544961,0.0333613242938356,-0.798399677134001,0.424641755809792
"pcgCANCRB",-0.0138498615398798,0.0335577305186452,-0.412717467058286,0.67981510302785
"pcgSEIZURE",0.00926544267932458,0.034913400137384,0.26538356742297,0.790714906984499
"pcgCHF",0.0431955053734545,0.0362052992314752,1.19307135392772,0.232846154705282
"pcgPRGNCY",0.0608620734551807,0.0336048328280366,1.81111073417997,0.0701287191865793
"pcgMETAB1",-0.0797658496508982,0.0435703230591067,-1.83073808157652,0.0671446112045088
"pcgHEART4",-0.0284686529187949,0.0341061544343102,-0.834707207276233,0.403885911500447
"pcgODaBNCA",-0.0369806149784692,0.0340676675493541,-1.08550475094589,0.277702529019192
"pcgHEMTOL",0.0196488505643093,0.0339174054023598,0.579314671367587,0.56237904624882
"pcgGYNECA",-0.0561837243921932,0.034624824230957,-1.62264287660877,0.104671031526677
"pcgAPPCHOL",-0.00661273480315023,0.0348446891252869,-0.189777408527699,0.849484202578491
"pcgMISCL1",-0.0750863048613724,0.0507504875091431,-1.4795188883229,0.139006945655584
"pcgRENAL2",0.0395384080300926,0.0387414185654622,1.02057202586125,0.307461370318471
"pcgSTROKE",-0.0139255690342588,0.0366420894400539,-0.380042984640407,0.703914854983291
"pcgPERVALV",0.00241467869849385,0.0408339012914412,0.059134166026893,0.952845442949225
"pcgCANCRA",-0.0108701913219876,0.0396325444022499,-0.27427437440455,0.783874721717043
"pcgCATAST",0.223705772423371,0.0780107079081786,2.86762905275364,0.00413704386231889
"pcgFLaELEC",-0.0172314026957776,0.0410051017168615,-0.420225824941485,0.67432199797714
"pcgSEPSIS",-0.145652279729516,0.43954720636351,-0.331368912419069,0.740367003144137
"pcgLIVERDZ",-0.213688734985515,0.0623106192857355,-3.42941118921657,0.000605299542530988
"pcgPNCRDZ",-0.0819265064491318,0.141512625183979,-0.578934256520365,0.562635711298949
"pcgRENAL1",0.122067554846985,0.265279855952268,0.460146340206657,0.645412854058861
"pcgCANCRM",-0.424659320548089,0.189164147720194,-2.24492498005611,0.024776582370639
"pcgPERINTL",-0.182022148589399,0.0853174025422845,-2.13347034913758,0.0328902125457145
"CharlsonIndexMean",0.147057334103295,0.0120148654062674,12.2396156037324,2.0991111452058e-34
"pgMED",0.0496224234042947,0.0522028025376627,0.950570103367413,0.341826486366857
"pgEM",0.0747999487504928,0.0521709565142165,1.43374693025055,0.15164971400677
"pgSCS",0.027509203845163,0.0529130069938106,0.519894925804932,0.603138733394615
"pgRAD",0.00798524035397333,0.0527500662655161,0.151378773891578,0.879677442239648
"pgANES",-0.191494117706576,0.0655217111582319,-2.92260556572045,0.00347245673671021
"pgSDS",0.0823908983326709,0.0540241799949044,1.52507448221226,0.12724580044701
"pgPL",0.070227387013601,0.0527943719088798,1.33020593814071,0.183455492497237
"pgSIS",0.0308338114769272,0.053043164017237,0.581296610943256,0.561042751517506
